Order Date,Category,Sales,Profit,Month
2024-01-01,Office Supplies,3830,450,2024-01
2024-01-02,Technology,2589,1836,2024-01
2024-01-03,Office Supplies,1731,777,2024-01
2024-01-04,Office Supplies,2916,1743,2024-01
2024-01-05,Technology,1115,1357,2024-01
2024-01-06,Technology,1448,16,2024-01
2024-01-07,Office Supplies,4711,1158,2024-01
2024-01-08,Furniture,3187,1365,2024-01
2024-01-09,Office Supplies,2939,641,2024-01
2024-01-10,Office Supplies,435,1432,2024-01
2024-01-11,Office Supplies,4692,314,2024-01
2024-01-12,Office Supplies,995,1775,2024-01
2024-01-13,Technology,3646,1400,2024-01
2024-01-14,Office Supplies,951,1763,2024-01
2024-01-15,Furniture,1787,1562,2024-01
2024-01-16,Technology,2031,1594,2024-01
2024-01-17,Furniture,3846,1871,2024-01
2024-01-18,Furniture,2527,-371,2024-01
2024-01-19,Furniture,1668,-406,2024-01
2024-01-20,Furniture,4100,1455,2024-01
2024-01-21,Technology,2838,293,2024-01
2024-01-22,Technology,3598,1334,2024-01
2024-01-23,Furniture,4013,1616,2024-01
2024-01-24,Furniture,1166,1183,2024-01
2024-01-25,Technology,4480,-490,2024-01
2024-01-26,Technology,2544,1365,2024-01
2024-01-27,Technology,4207,211,2024-01
2024-01-28,Office Supplies,3473,1570,2024-01
2024-01-29,Office Supplies,4069,314,2024-01
2024-01-30,Office Supplies,2646,-155,2024-01
2024-01-31,Furniture,853,1849,2024-01
2024-02-01,Office Supplies,2182,-138,2024-02
2024-02-02,Furniture,2874,1943,2024-02
2024-02-03,Furniture,2996,1765,2024-02
2024-02-04,Office Supplies,4285,1688,2024-02
2024-02-05,Furniture,875,484,2024-02
2024-02-06,Office Supplies,1725,1139,2024-02
2024-02-07,Office Supplies,3169,327,2024-02
2024-02-08,Technology,517,-145,2024-02
2024-02-09,Office Supplies,214,847,2024-02
2024-02-10,Technology,716,1363,2024-02
2024-02-11,Office Supplies,4074,-374,2024-02
2024-02-12,Office Supplies,3367,103,2024-02
2024-02-13,Technology,925,1428,2024-02
2024-02-14,Technology,1616,513,2024-02
2024-02-15,Office Supplies,3246,-450,2024-02
2024-02-16,Furniture,512,930,2024-02
2024-02-17,Technology,828,1292,2024-02
2024-02-18,Furniture,3448,1136,2024-02
2024-02-19,Furniture,2908,1145,2024-02
2024-02-20,Furniture,775,1967,2024-02
2024-02-21,Technology,3565,705,2024-02
2024-02-22,Furniture,2604,1354,2024-02
2024-02-23,Technology,3067,66,2024-02
2024-02-24,Furniture,2886,1918,2024-02
2024-02-25,Office Supplies,1222,435,2024-02
2024-02-26,Office Supplies,4179,1434,2024-02
2024-02-27,Technology,1671,832,2024-02
2024-02-28,Office Supplies,2243,-299,2024-02
2024-02-29,Office Supplies,1787,1860,2024-02
2024-03-01,Furniture,4232,-384,2024-03
2024-03-02,Technology,3951,436,2024-03
2024-03-03,Furniture,3540,74,2024-03
2024-03-04,Furniture,3866,1791,2024-03
2024-03-05,Furniture,2426,36,2024-03
2024-03-06,Furniture,3014,1125,2024-03
2024-03-07,Furniture,4052,1622,2024-03
2024-03-08,Furniture,695,-115,2024-03
2024-03-09,Furniture,828,-26,2024-03
2024-03-10,Technology,1465,-83,2024-03
2024-03-11,Office Supplies,4592,1894,2024-03
2024-03-12,Furniture,798,438,2024-03
2024-03-13,Furniture,495,454,2024-03
2024-03-14,Furniture,4271,375,2024-03
2024-03-15,Furniture,4460,262,2024-03
2024-03-16,Furniture,2602,702,2024-03
2024-03-17,Furniture,1919,705,2024-03
2024-03-18,Office Supplies,817,163,2024-03
2024-03-19,Office Supplies,2882,-476,2024-03
2024-03-20,Furniture,3677,1490,2024-03
2024-03-21,Office Supplies,243,703,2024-03
2024-03-22,Technology,3240,209,2024-03
2024-03-23,Furniture,4591,1379,2024-03
2024-03-24,Technology,3038,684,2024-03
2024-03-25,Technology,3736,1724,2024-03
2024-03-26,Furniture,3322,-216,2024-03
2024-03-27,Office Supplies,1267,-438,2024-03
2024-03-28,Technology,2716,502,2024-03
2024-03-29,Furniture,1162,161,2024-03
2024-03-30,Technology,2256,1703,2024-03
2024-03-31,Technology,3082,992,2024-03
2024-04-01,Technology,3394,466,2024-04
2024-04-02,Technology,4829,348,2024-04
2024-04-03,Office Supplies,1256,607,2024-04
2024-04-04,Technology,832,188,2024-04
2024-04-05,Technology,4430,-353,2024-04
2024-04-06,Technology,4946,-159,2024-04
2024-04-07,Office Supplies,1053,586,2024-04
2024-04-08,Technology,2639,1224,2024-04
2024-04-09,Technology,3424,883,2024-04
2024-04-10,Office Supplies,3401,-174,2024-04
2024-04-11,Office Supplies,1642,1292,2024-04
2024-04-12,Office Supplies,1291,1259,2024-04
2024-04-13,Technology,3093,489,2024-04
2024-04-14,Office Supplies,2781,1762,2024-04
2024-04-15,Office Supplies,1317,1982,2024-04
2024-04-16,Technology,1640,451,2024-04
2024-04-17,Office Supplies,3336,222,2024-04
2024-04-18,Technology,2486,1579,2024-04
2024-04-19,Furniture,3819,1832,2024-04
2024-04-20,Office Supplies,1488,-72,2024-04
2024-04-21,Furniture,1956,1000,2024-04
2024-04-22,Technology,1465,-215,2024-04
2024-04-23,Office Supplies,599,1565,2024-04
2024-04-24,Technology,1780,268,2024-04
2024-04-25,Furniture,610,894,2024-04
2024-04-26,Technology,4412,-307,2024-04
2024-04-27,Office Supplies,1424,487,2024-04
2024-04-28,Office Supplies,1255,636,2024-04
